Name,undergradEnrollment,freshmenFinAidPercent,tuitionFees2013_14,geographicRegion,control,HBCU,Tribal college,degreeUrbanization,perc_AmericanIndianAlaskaNative,perc_Asian,perc_BlackAfricanAmerican,perc_HispanicLatino,perc_NativeHawaiian_OtherPacificIslander,perc_White,perc_MutiRacial,perc_RaceUnknown,perc_NonresidentAlien,perc_Women,perc_FreshmenPellGrants,perc_FreshmenInstGrantAid,numPOC,perc_POC,numWhite,tuition1000Dollar,controlPublic,HBCUYes,geographicRegion_factor,degreeUrbanization_factor
Alabama A & M University,4051,97,7182,Southeast,Public,Yes,No,City,0,0,95,1,0,3,0,1,0,51,81,32,3888.96,96,121.53,7.182,1,1,Southeast,City
University of Alabama at Birmingham,11502,90,7206,Southeast,Public,No,No,City,0,5,26,3,0,60,3,1,2,58,36,60,3910.68,34,6901.2,7.206,1,0,Southeast,City
Amridge University,322,100,6870,Southeast,Private not-for-profit,No,No,City,0,0,42,1,0,29,0,27,0,61,90,90,138.46,43.00000000000001,93.38,6.87,0,0,Southeast,City
University of Alabama in Huntsville,5696,87,9192,Southeast,Public,No,No,City,1,4,13,3,0,70,2,3,4,44,31,63,1196.1599999999999,20.999999999999996,3987.2,9.192,1,0,Southeast,City
Alabama State University,5356,93,8720,Southeast,Public,Yes,No,City,0,0,93,1,0,2,1,1,2,59,76,34,5034.64,94,107.12,8.72,1,1,Southeast,City
The University of Alabama,29440,75,9450,Southeast,Public,No,No,City,0,1,11,3,0,78,2,0,4,54,18,50,4416,15,22963.2,9.45,1,0,Southeast,City
Auburn University at Montgomery,4322,90,8750,Southeast,Public,No,No,City,0,2,30,1,0,55,0,6,4,62,48,48,1426.26,33,2377.1000000000004,8.75,1,0,Southeast,City
Auburn University,19799,76,9852,Southeast,Public,No,No,City,1,2,7,3,0,85,0,1,1,49,13,65,2573.87,13,16829.149999999998,9.852,1,0,Southeast,City
Birmingham Southern College,1188,98,30690,Southeast,Private not-for-profit,No,No,City,1,4,9,3,0,81,1,1,0,46,21,96,201.96,17,962.2800000000001,30.69,0,0,Southeast,City
Concordia College Alabama,600,100,8090,Southeast,Private not-for-profit,Yes,No,Town,0,0,95,1,0,1,0,0,3,42,84,67,576,96,6,8.09,0,1,Southeast,Town
Faulkner University,2617,99,18230,Southeast,Private not-for-profit,No,No,City,1,1,48,2,0,44,1,2,2,63,57,91,1360.8400000000001,52,1151.48,18.23,0,0,Southeast,City
Huntingdon College,1110,100,23500,Southeast,Private not-for-profit,No,No,City,1,1,19,2,0,58,3,16,0,50,48,99,255.29999999999998,23,643.8,23.5,0,0,Southeast,City
Jacksonville State University,7588,93,7092,Southeast,Public,No,No,City,1,1,25,1,0,66,0,4,2,58,48,55,2124.6400000000003,28.000000000000004,5008.08,7.092,1,0,Southeast,City
Judson College,347,100,15630,Southeast,Private not-for-profit,No,No,Rural,0,1,14,1,0,80,1,2,1,95,64,100,55.52000000000001,16.000000000000004,277.6,15.63,0,0,Southeast,Rural
University of West Alabama,1999,95,7660,Southeast,Public,No,No,Rural,0,1,42,2,0,43,1,6,5,57,59,56,899.5500000000001,45,859.5699999999999,7.66,1,0,Southeast,Rural
Miles College,1666,99,11454,Southeast,Private not-for-profit,Yes,No,Suburb,0,0,97,1,0,2,1,0,0,48,88,34,1632.68,98.00000000000001,33.32,11.454,0,1,Southeast,Suburb
University of Mobile,1481,93,18690,Southeast,Private not-for-profit,No,No,Rural,2,1,22,1,0,65,2,5,3,67,34,92,385.06,26,962.65,18.69,0,0,Southeast,Rural
University of Montevallo,2618,88,10000,Southeast,Public,No,No,Suburb,1,1,14,2,0,74,2,6,1,66,38,63,471.24,18,1937.32,10,1,0,Southeast,Suburb
University of North Alabama,5881,82,7078,Southeast,Public,No,No,City,1,0,13,2,0,72,2,4,5,57,53,40,940.96,16,4234.32,7.078,1,0,Southeast,City
Oakwood University,1861,94,16234,Southeast,Private not-for-profit,Yes,No,City,0,0,85,2,0,1,0,3,8,57,53,82,1619.07,87,18.61,16.234,0,1,Southeast,City
Samford University,3013,98,26328,Southeast,Private not-for-profit,No,No,Suburb,0,1,7,7,0,81,1,0,3,65,14,97,451.95000000000005,15.000000000000002,2440.53,26.328,0,0,Southeast,Suburb
University of South Alabama,11307,91,6948,Southeast,Public,No,No,City,1,3,22,2,0,64,2,2,3,57,43,54,3165.9600000000005,28.000000000000004,7236.4800000000005,6.948,1,0,Southeast,City
Spring Hill College,1292,100,30924,Southeast,Private not-for-profit,No,No,City,1,1,16,9,0,67,2,4,1,60,33,100,348.84000000000003,27,865.6400000000001,30.924,0,0,Southeast,City
Stillman College,863,100,15901,Southeast,Private not-for-profit,Yes,No,City,0,0,92,1,0,6,0,0,0,49,74,87,802.59,93,51.78,15.901,0,1,Southeast,City
Talladega College,932,98,11492,Southeast,Private not-for-profit,Yes,No,Town,0,0,89,2,1,5,0,3,0,53,98,63,857.44,92,46.6,11.492,0,1,Southeast,Town
Troy University,16316,78,7276,Southeast,Public,No,No,Rural,1,1,37,3,0,49,2,5,3,62,48,38,6852.72,42.00000000000001,7994.84,7.276,1,0,Southeast,Rural
Tuskegee University,2584,96,18900,Southeast,Private not-for-profit,Yes,No,Town,0,0,78,0,0,0,0,22,0,58,54,22,2015.52,78,0,18.9,0,1,Southeast,Town
University of Alaska Anchorage,16380,81,5147,Far West,Public,No,No,City,6,7,4,7,1,58,9,6,2,59,32,39,4095,25,9500.4,5.147,1,0,Far West,City
University of Alaska Fairbanks,7989,83,4984,Far West,Public,No,No,Suburb,15,1,2,5,0,46,4,25,2,57,27,38,1837.4699999999998,23,3674.94,4.984,1,0,Far West,Suburb
University of Alaska Southeast,2645,79,5693,Far West,Public,No,No,Town,13,2,1,4,1,52,6,19,1,64,33,50,555.45,21.000000000000004,1375.4,5.693,1,0,Far West,Town
Alaska Pacific University,387,100,29810,Far West,Private not-for-profit,No,No,City,16,2,3,3,1,56,11,10,0,66,42,100,96.75,25,216.72000000000003,29.81,0,0,Far West,City
American Indian College of the Assemblies of God Inc,79,100,12000,Southwest,Private not-for-profit,No,No,City,56,0,11,19,6,8,0,0,0,57,100,63,72.68,92,6.32,12,0,0,Southwest,City
Arizona State University-Tempe,38730,91,9861,Southwest,Public,No,No,City,1,7,4,18,0,57,4,1,7,44,29,85,11619,30,22076.1,9.861,1,0,Southwest,City
University of Arizona,31670,83,10391,Southwest,Public,No,No,City,1,6,3,24,0,55,4,1,6,52,30,72,10767.8,34,17418.5,10.391,1,0,Southwest,City
Embry-Riddle Aeronautical University-Prescott,1879,91,31034,Southwest,Private not-for-profit,No,No,Rural,1,8,2,7,1,58,7,8,8,21,20,90,357.01,19,1089.82,31.034,0,0,Southwest,Rural
Northern Arizona University,22160,83,9738,Southwest,Public,No,No,City,3,2,3,19,0,63,5,1,4,58,37,61,5983.200000000001,27,13960.8,9.738,1,0,Southwest,City
Prescott College,545,94,29732,Southwest,Private not-for-profit,No,No,City,2,1,1,6,0,73,4,12,1,55,52,91,54.5,10,397.84999999999997,29.732,0,0,Southwest,City
Arizona Christian University,635,99,21832,Southwest,Private not-for-profit,No,No,City,1,2,5,13,0,61,3,13,3,50,38,97,133.35000000000002,21.000000000000004,387.34999999999997,21.832,0,0,Southwest,City
University of Arkansas at Little Rock,9970,94,7094,Southeast,Public,No,No,City,0,3,23,6,0,57,7,0,3,59,53,46,3190.4,32,5682.9,7.094,1,0,Southeast,City
Arkansas Baptist College,1027,88,8040,Southeast,Private not-for-profit,Yes,No,City,0,0,92,0,0,7,0,0,0,37,83,9,944.84,92,71.89,8.04,0,1,Southeast,City
Lyon College,592,100,23594,Southeast,Private not-for-profit,No,No,Town,2,1,4,5,0,77,0,8,3,54,42,100,71.04,12.000000000000002,455.84000000000003,23.594,0,0,Southeast,Town
University of Arkansas,21009,81,7818,Southeast,Public,No,No,City,1,2,5,6,0,78,3,0,3,51,22,35,2941.26,14.000000000000002,16387.02,7.818,1,0,Southeast,City
University of Arkansas at Pine Bluff,2521,96,5938,Southeast,Public,Yes,No,City,0,0,93,1,0,4,0,0,1,54,82,41,2369.7400000000002,94,100.84,5.938,1,1,Southeast,City
Arkansas State University-Main Campus,10098,95,7510,Southeast,Public,No,No,City,0,1,14,2,0,74,2,1,6,58,48,63,1716.66,17,7472.5199999999995,7.51,1,0,Southeast,City
Arkansas Tech University,10482,95,5598,Southeast,Public,No,No,Town,1,1,7,6,0,79,3,0,3,54,57,39,1572.3000000000002,15.000000000000002,8280.78,5.598,1,0,Southeast,Town
University of Arkansas at Monticello,3706,98,5793,Southeast,Public,No,No,Town,0,0,29,3,0,63,2,1,0,58,75,44,1185.9199999999998,31.999999999999996,2334.78,5.793,1,0,Southeast,Town
University of Central Arkansas,9754,95,7595,Southeast,Public,No,No,City,1,1,18,3,0,66,3,3,4,58,47,46,2243.4199999999996,22.999999999999996,6437.64,7.595,1,0,Southeast,City
Central Baptist College,827,99,13350,Southeast,Private not-for-profit,No,No,City,1,0,21,2,0,72,1,0,3,49,43,95,198.48,24,595.4399999999999,13.35,0,0,Southeast,City
Harding University,4428,98,16170,Southeast,Private not-for-profit,No,No,Town,1,1,4,3,0,83,1,0,7,54,28,94,398.52,9,3675.24,16.17,0,0,Southeast,Town
Henderson State University,3199,98,7580,Southeast,Public,No,No,Town,0,1,24,4,0,66,5,0,1,56,57,54,927.7099999999999,28.999999999999996,2111.34,7.58,1,0,Southeast,Town
Hendrix College,1431,100,37816,Southeast,Private not-for-profit,No,No,City,2,5,4,5,0,71,2,7,4,55,20,100,228.96000000000004,16.000000000000004,1016.01,37.816,0,0,Southeast,City
John Brown University,2080,99,22734,Southeast,Private not-for-profit,No,No,Town,1,1,2,5,0,72,3,10,6,56,31,95,187.2,9,1497.6,22.734,0,0,Southeast,Town
